Model,Angle,Layer,CKA,Cosine,RSA
dinov2-small-imagenet1k-1-layer,70,5,0.9313585758209229,1,1
dinov2-small-imagenet1k-1-layer,70,6,0.9111186265945435,1,1
dinov2-small-imagenet1k-1-layer,70,7,0.8820345997810364,1,1
dinov2-small-imagenet1k-1-layer,70,8,0.8444637656211853,1,1
dinov2-small-imagenet1k-1-layer,70,9,0.8520451188087463,1,1
dinov2-small-imagenet1k-1-layer,70,10,0.8533917665481567,1,1
dinov2-small-imagenet1k-1-layer,70,11,0.9041030406951904,1,1
dinov2-small-imagenet1k-1-layer,80,0,0.9410797953605652,1,1
dinov2-small-imagenet1k-1-layer,80,1,0.9725784659385681,1,1
dinov2-small-imagenet1k-1-layer,80,2,0.9576072692871094,1,1
dinov2-small-imagenet1k-1-layer,80,3,0.9732366800308228,1,1
dinov2-small-imagenet1k-1-layer,80,4,0.9624809622764587,1,1
dinov2-small-imagenet1k-1-layer,80,5,0.9467564821243286,1,1
dinov2-small-imagenet1k-1-layer,80,6,0.9318612217903137,1,1
dinov2-small-imagenet1k-1-layer,80,7,0.903882622718811,1,1
dinov2-small-imagenet1k-1-layer,80,8,0.811902642250061,1,1
dinov2-small-imagenet1k-1-layer,80,9,0.8142348527908325,1,1
dinov2-small-imagenet1k-1-layer,80,10,0.8444563746452332,1,1
dinov2-small-imagenet1k-1-layer,80,11,0.8978308439254761,1,1
dinov2-small-imagenet1k-1-layer,90,0,0.9490767121315002,1,1
dinov2-small-imagenet1k-1-layer,90,1,0.9793282151222229,1,1
dinov2-small-imagenet1k-1-layer,90,2,0.9628483057022095,1,1
dinov2-small-imagenet1k-1-layer,90,3,0.9811046123504639,1,1
dinov2-small-imagenet1k-1-layer,90,4,0.9756463766098022,1,1
dinov2-small-imagenet1k-1-layer,90,5,0.9648247361183167,1,1
dinov2-small-imagenet1k-1-layer,90,6,0.9536885023117065,1,1
dinov2-small-imagenet1k-1-layer,90,7,0.9238139390945435,1,1
dinov2-small-imagenet1k-1-layer,90,8,0.8582289218902588,1,1
dinov2-small-imagenet1k-1-layer,90,9,0.8444757461547852,1,1
dinov2-small-imagenet1k-1-layer,90,10,0.8739117980003357,1,1
dinov2-small-imagenet1k-1-layer,90,11,0.9116594791412354,1,1
dinov2-small-imagenet1k-1-layer,100,0,0.9378446936607361,1,1
dinov2-small-imagenet1k-1-layer,100,1,0.9717838764190674,1,1
dinov2-small-imagenet1k-1-layer,100,2,0.9463222622871399,1,1
dinov2-small-imagenet1k-1-layer,100,3,0.9684609770774841,1,1
dinov2-small-imagenet1k-1-layer,100,4,0.9591773152351379,1,1
dinov2-small-imagenet1k-1-layer,100,5,0.9470545053482056,1,1
dinov2-small-imagenet1k-1-layer,100,6,0.9288728833198547,1,1
dinov2-small-imagenet1k-1-layer,100,7,0.8940924406051636,1,1
dinov2-small-imagenet1k-1-layer,100,8,0.7871217131614685,1,1
dinov2-small-imagenet1k-1-layer,100,9,0.8128150105476379,1,1
dinov2-small-imagenet1k-1-layer,100,10,0.8292635679244995,1,1
dinov2-small-imagenet1k-1-layer,100,11,0.8803775906562805,1,1
dinov2-small-imagenet1k-1-layer,110,0,0.9149678349494934,1,1
dinov2-small-imagenet1k-1-layer,110,1,0.945280134677887,1,1
dinov2-small-imagenet1k-1-layer,110,2,0.9320629835128784,1,1
dinov2-small-imagenet1k-1-layer,110,3,0.9543355703353882,1,1
dinov2-small-imagenet1k-1-layer,110,4,0.9408555626869202,1,1
dinov2-small-imagenet1k-1-layer,110,5,0.9268165230751038,1,1
dinov2-small-imagenet1k-1-layer,110,6,0.8937027454376221,1,1
dinov2-small-imagenet1k-1-layer,110,7,0.8635837435722351,1,1
dinov2-small-imagenet1k-1-layer,110,8,0.7858184576034546,1,1
dinov2-small-imagenet1k-1-layer,110,9,0.7897123694419861,1,1
dinov2-small-imagenet1k-1-layer,110,10,0.7824130654335022,1,1
dinov2-small-imagenet1k-1-layer,110,11,0.8665262460708618,1,1
dinov2-small-imagenet1k-1-layer,120,0,0.8991578221321106,1,1
dinov2-small-imagenet1k-1-layer,120,1,0.9459207653999329,1,1
dinov2-small-imagenet1k-1-layer,120,2,0.9292597770690918,1,1
dinov2-small-imagenet1k-1-layer,120,3,0.9533697962760925,1,1
dinov2-small-imagenet1k-1-layer,120,4,0.929638147354126,1,1
dinov2-small-imagenet1k-1-layer,120,5,0.9153797626495361,1,1
dinov2-small-imagenet1k-1-layer,120,6,0.8836299777030945,1,1
dinov2-small-imagenet1k-1-layer,120,7,0.8585708737373352,1,1
dinov2-small-imagenet1k-1-layer,120,8,0.8257126808166504,1,1
dinov2-small-imagenet1k-1-layer,120,9,0.8183399438858032,1,1
dinov2-small-imagenet1k-1-layer,120,10,0.7798306941986084,1,1
dinov2-small-imagenet1k-1-layer,120,11,0.8670350909233093,1,1
dinov2-small-imagenet1k-1-layer,130,0,0.8922024369239807,1,1
dinov2-small-imagenet1k-1-layer,130,1,0.93942791223526,1,1
dinov2-small-imagenet1k-1-layer,130,2,0.9258224368095398,1,1
dinov2-small-imagenet1k-1-layer,130,3,0.9500318169593811,1,1
dinov2-small-imagenet1k-1-layer,130,4,0.929353654384613,1,1
dinov2-small-imagenet1k-1-layer,130,5,0.9089624285697937,1,1
dinov2-small-imagenet1k-1-layer,130,6,0.8771960139274597,1,1
dinov2-small-imagenet1k-1-layer,130,7,0.8488481044769287,1,1
dinov2-small-imagenet1k-1-layer,130,8,0.8463430404663086,1,1
dinov2-small-imagenet1k-1-layer,130,9,0.820477306842804,1,1
dinov2-small-imagenet1k-1-layer,130,10,0.7809346914291382,1,1
dinov2-small-imagenet1k-1-layer,130,11,0.8674267530441284,1,1
dinov2-small-imagenet1k-1-layer,140,0,0.8857918977737427,1,1
dinov2-small-imagenet1k-1-layer,140,1,0.9375656247138977,1,1
dinov2-small-imagenet1k-1-layer,140,2,0.9325607419013977,1,1
dinov2-small-imagenet1k-1-layer,140,3,0.9524821639060974,1,1
dinov2-small-imagenet1k-1-layer,140,4,0.931947648525238,1,1
dinov2-small-imagenet1k-1-layer,140,5,0.9092539548873901,1,1
dinov2-small-imagenet1k-1-layer,140,6,0.885247528553009,1,1
dinov2-small-imagenet1k-1-layer,140,7,0.8544298410415649,1,1
dinov2-small-imagenet1k-1-layer,140,8,0.8604174852371216,1,1
dinov2-small-imagenet1k-1-layer,140,9,0.8210629224777222,1,1
dinov2-small-imagenet1k-1-layer,140,10,0.7733117341995239,1,1
dinov2-small-imagenet1k-1-layer,140,11,0.8634134531021118,1,1
dinov2-small-imagenet1k-1-layer,150,0,0.8999961614608765,1,1
dinov2-small-imagenet1k-1-layer,150,1,0.9453074932098389,1,1
dinov2-small-imagenet1k-1-layer,150,2,0.9350278973579407,1,1
dinov2-small-imagenet1k-1-layer,150,3,0.9530765414237976,1,1
dinov2-small-imagenet1k-1-layer,150,4,0.9384658932685852,1,1
dinov2-small-imagenet1k-1-layer,150,5,0.917307436466217,1,1
dinov2-small-imagenet1k-1-layer,150,6,0.8965641260147095,1,1
dinov2-small-imagenet1k-1-layer,150,7,0.8545628786087036,1,1
dinov2-small-imagenet1k-1-layer,150,8,0.8721640706062317,1,1
dinov2-small-imagenet1k-1-layer,150,9,0.8247083425521851,1,1
dinov2-small-imagenet1k-1-layer,150,10,0.770680844783783,1,1
dinov2-small-imagenet1k-1-layer,150,11,0.8657522201538086,1,1
dinov2-small-imagenet1k-1-layer,160,0,0.9063350558280945,1,1
dinov2-small-imagenet1k-1-layer,160,1,0.9557455778121948,1,1
dinov2-small-imagenet1k-1-layer,160,2,0.94890958070755,1,1
dinov2-small-imagenet1k-1-layer,160,3,0.9640200138092041,1,1
dinov2-small-imagenet1k-1-layer,160,4,0.9502635598182678,1,1
dinov2-small-imagenet1k-1-layer,160,5,0.9339717626571655,1,1
dinov2-small-imagenet1k-1-layer,160,6,0.9092310070991516,1,1
dinov2-small-imagenet1k-1-layer,160,7,0.8652270436286926,1,1
dinov2-small-imagenet1k-1-layer,160,8,0.8626281023025513,1,1
dinov2-small-imagenet1k-1-layer,160,9,0.8290314674377441,1,1
dinov2-small-imagenet1k-1-layer,160,10,0.7906635403633118,1,1
dinov2-small-imagenet1k-1-layer,160,11,0.8618977665901184,1,1
dinov2-small-imagenet1k-1-layer,170,0,0.9315764307975769,1,1
