Wall time,Step,Value
1772549433.5748718,420,1.2841084003448486
1772549434.275605,437,1.103805422782898
1772549434.6894505,447,0.8792353272438049
1772549434.8129072,450,1.0285840034484863
1772549435.0185637,455,0.8901265859603882
1772549435.3479881,463,0.961134135723114
1772549435.471282,466,0.9071590304374695
1772549435.6358182,470,0.8509287238121033
1772549436.4587896,490,0.7192009091377258
1772549437.0798032,505,0.7309439778327942
1772549437.1209254,506,0.6642109155654907
1772549438.0261881,528,0.8110808730125427
1772549439.5065205,564,0.6277334094047546
1772549439.547613,565,0.5980263352394104
1772549439.7974298,571,0.7126989960670471
1772549440.2089763,581,0.49886903166770935
1772549440.2501118,582,0.5947737097740173
1772549440.33228,584,0.6768659949302673
1772549440.3733575,585,0.6004812121391296
1772549441.2371411,606,0.584386944770813
1772549442.6771758,641,0.49096766114234924
1772549442.8828528,646,0.780933678150177
1772549443.417555,659,0.6552222371101379
1772549443.6232004,664,0.5341650247573853
1772549443.8698018,670,0.5723615288734436
1772549444.2397118,679,0.47794169187545776
1772549444.2813141,680,0.47598809003829956
1772549444.6533468,689,0.5022333264350891
1772549444.820536,693,0.5134495496749878
1772549445.7679408,716,0.4628508687019348
1772549446.3855343,731,0.37688159942626953
1772549446.6736095,738,0.5251958966255188
1772549446.9203007,744,0.6379607319831848
1772549447.2506616,752,0.5620800852775574
1772549447.5399296,759,0.6070259213447571
1772549447.6633935,762,0.6382606625556946
1772549447.704597,763,0.580238938331604
1772549447.7869031,765,0.4861692786216736
1772549447.8693092,767,0.5556495785713196
1772549448.7743046,789,0.6127192378044128
1772549449.3188224,802,0.4255127012729645
1772549450.8813605,840,0.4730350077152252
1772549451.458189,854,0.39702102541923523
1772549451.7875047,862,0.5870465636253357
1772549452.8992043,889,0.5430701971054077
1772549453.55684,905,0.45292291045188904
1772549453.7624102,910,0.5201987624168396
1772549455.0827909,942,0.6361001133918762
1772549455.6170223,955,0.4123086929321289
1772549456.4407668,975,0.3883357644081116
1772549457.6328316,1004,0.5189850330352783
1772549458.1674192,1017,0.5393278002738953
1772549459.1551628,1041,0.4381658136844635
1772549459.4018164,1047,0.33176419138908386
1772549460.4711258,1073,0.3922865688800812
1772549461.0055444,1086,0.44108399748802185
1772549461.9950812,1110,0.4523863196372986
1772549462.1188257,1113,0.44300299882888794
1772549462.5709004,1124,0.6222451329231262
1772549462.8587027,1131,0.4217579662799835
1772549463.7217019,1152,0.42795616388320923
1772549464.8343225,1179,0.46469956636428833
1772549465.2059577,1188,0.4864947199821472
1772549465.288493,1190,0.3111727237701416
1772549465.5352523,1196,0.33052822947502136
1772549466.1566117,1211,0.47412246465682983
1772549466.3211355,1215,0.38592129945755005
1772549466.939259,1230,0.4518123269081116
1772549467.6384473,1247,0.5281109809875488
1772549468.6270447,1271,0.3759966790676117
1772549468.7093384,1273,0.4596911668777466
1772549468.8740082,1277,0.3314777612686157
1772549469.079651,1282,0.35692229866981506
1772549469.2026057,1285,0.44900089502334595
1772549469.3671572,1289,0.4970737397670746
1772549469.654878,1296,0.47166916728019714
1772549470.6824481,1321,0.3794788420200348
1772549471.752439,1347,0.3889506459236145
1772549472.0822241,1355,0.32981014251708984
1772549472.2058997,1358,0.3447245657444
1772549472.9464543,1376,0.4605220854282379
1772549473.3575346,1386,0.4020496606826782
1772549473.6448584,1393,0.40076395869255066
1772549474.3023655,1409,0.385689377784729
1772549474.3846169,1411,0.48315152525901794
1772549474.5901039,1416,0.3931148648262024
1772549474.9620833,1425,0.2873581647872925
1772549475.1263697,1429,0.45686668157577515
1772549476.3997905,1460,0.38853374123573303
1772549476.4818578,1462,0.5221889615058899
1772549477.2651224,1481,0.34076496958732605
1772549477.4295795,1485,0.3317570388317108
1772549478.210193,1504,0.2479080706834793
1772549479.4018967,1533,0.5359609127044678
1772549479.6485274,1539,0.5845736861228943
